iter	Passed	Remaining
1132	8636	6608
1133	8643	6600
1134	8650	6592
1135	8657	6584
1136	8664	6576
1137	8671	6568
1138	8678	6560
1139	8685	6552
1140	8693	6544
1141	8700	6536
1142	8707	6528
1143	8714	6520
1144	8721	6512
1145	8728	6504
1146	8735	6496
1147	8743	6489
1148	8750	6481
1149	8757	6473
1150	8764	6465
1151	8772	6457
1152	8779	6449
1153	8786	6441
1154	8793	6433
1155	8800	6425
1156	8808	6417
1157	8815	6409
1158	8822	6402
1159	8830	6394
1160	8837	6386
1161	8844	6378
1162	8851	6370
1163	8859	6362
1164	8865	6354
1165	8872	6346
1166	8879	6338
1167	8885	6329
1168	8893	6321
1169	8899	6313
1170	8905	6304
1171	8913	6297
1172	8920	6289
1173	8927	6281
1174	8933	6272
1175	8941	6265
1176	8948	6257
1177	8956	6249
1178	8964	6242
1179	8971	6234
1180	8979	6226
1181	8986	6218
1182	8994	6211
1183	9001	6203
1184	9010	6196
1185	9016	6188
1186	9024	6180
1187	9030	6172
1188	9037	6164
1189	9045	6156
1190	9051	6148
1191	9058	6140
1192	9065	6132
1193	9072	6124
1194	9079	6116
1195	9086	6108
1196	9093	6100
1197	9100	6092
1198	9107	6084
1199	9113	6075
1200	9120	6067
1201	9126	6059
1202	9133	6051
1203	9140	6043
1204	9147	6035
1205	9155	6027
1206	9162	6019
1207	9169	6011
1208	9176	6003
1209	9183	5995
1210	9190	5988
1211	9198	5980
1212	9206	5973
1213	9213	5965
1214	9221	5957
1215	9228	5949
1216	9235	5941
1217	9242	5933
1218	9248	5925
1219	9255	5917
1220	9261	5909
1221	9268	5901
1222	9275	5893
1223	9282	5885
1224	9290	5877
1225	9297	5869
1226	9305	5862
1227	9312	5854
1228	9320	5847
1229	9327	5839
1230	9334	5831
1231	9342	5823
1232	9349	5815
1233	9356	5807
1234	9363	5800
1235	9370	5792
1236	9377	5784
1237	9386	5777
1238	9393	5769
1239	9400	5761
1240	9408	5754
1241	9415	5746
1242	9422	5738
1243	9429	5730
1244	9436	5722
1245	9443	5714
1246	9449	5706
1247	9456	5697
1248	9462	5689
1249	9470	5682
1250	9476	5673
1251	9483	5666
1252	9490	5658
1253	9496	5649
1254	9505	5642
1255	9512	5634
1256	9519	5626
1257	9526	5618
1258	9533	5611
1259	9539	5602
1260	9546	5594
1261	9554	5587
1262	9561	5579
1263	9568	5571
1264	9575	5563
1265	9582	5555
1266	9588	5547
1267	9596	5540
1268	9603	5532
1269	9611	5524
1270	9619	5517
1271	9625	5509
1272	9633	5501
1273	9639	5493
1274	9646	5485
1275	9653	5477
1276	9660	5469
1277	9667	5461
1278	9674	5453
1279	9681	5445
1280	9687	5437
1281	9695	5429
1282	9702	5422
1283	9709	5414
1284	9715	5406
1285	9723	5398
1286	9730	5390
1287	9737	5382
1288	9743	5374
1289	9751	5366
1290	9758	5359
1291	9764	5351
1292	9771	5343
1293	9777	5334
1294	9784	5326
1295	9791	5318
1296	9798	5310
1297	9805	5303
1298	9813	5295
1299	9820	5288
1300	9828	5280
1301	9836	5273
1302	9843	5265
1303	9850	5257
1304	9857	5249
1305	9864	5241
1306	9871	5233
1307	9877	5225
1308	9884	5218
1309	9891	5209
1310	9898	5202
