iter	Passed	Remaining
1524	12751	3971
1525	12759	3963
1526	12769	3955
1527	12778	3947
1528	12788	3939
1529	12797	3931
1530	12806	3923
1531	12824	3917
1532	12836	3910
1533	12845	3902
1534	12855	3894
1535	12862	3885
1536	12872	3877
1537	12879	3868
1538	12888	3860
1539	12895	3851
1540	12904	3843
1541	12911	3835
1542	12919	3826
1543	12926	3817
1544	12934	3809
1545	12941	3800
1546	12949	3792
1547	12957	3783
1548	12964	3774
1549	12972	3766
1550	12981	3757
1551	12988	3749
1552	12996	3740
1553	13004	3732
1554	13012	3723
1555	13020	3715
1556	13029	3707
1557	13036	3698
1558	13044	3689
1559	13051	3681
1560	13058	3672
1561	13068	3664
1562	13076	3655
1563	13083	3647
1564	13091	3638
1565	13100	3630
1566	13109	3622
1567	13117	3613
1568	13124	3605
1569	13132	3596
1570	13139	3588
1571	13146	3579
1572	13153	3570
1573	13160	3561
1574	13167	3553
1575	13175	3544
1576	13183	3536
1577	13191	3527
1578	13200	3519
1579	13208	3511
1580	13216	3502
1581	13223	3494
1582	13231	3485
1583	13238	3476
1584	13245	3468
1585	13252	3459
1586	13260	3450
1587	13268	3442
1588	13277	3434
1589	13284	3425
1590	13291	3416
1591	13299	3408
1592	13308	3400
1593	13315	3391
1594	13323	3383
1595	13331	3374
1596	13340	3366
1597	13347	3357
1598	13355	3349
1599	13362	3340
1600	13369	3331
1601	13377	3323
1602	13384	3314
1603	13393	3306
1604	13401	3298
1605	13409	3289
1606	13416	3280
1607	13423	3272
1608	13431	3263
1609	13439	3255
1610	13446	3246
1611	13452	3238
1612	13460	3229
1613	13466	3220
1614	13475	3212
1615	13482	3203
1616	13489	3195
1617	13497	3186
1618	13505	3178
1619	13512	3169
1620	13520	3161
1621	13528	3152
1622	13536	3144
1623	13545	3136
1624	13552	3127
1625	13559	3118
1626	13567	3110
1627	13575	3102
1628	13583	3093
1629	13590	3084
1630	13598	3076
1631	13608	3068
1632	13615	3059
1633	13623	3051
1634	13631	3043
1635	13642	3035
1636	13650	3027
1637	13658	3018
1638	13666	3010
1639	13675	3002
1640	13689	2994
1641	13698	2986
1642	13707	2978
1643	13718	2970
1644	13728	2962
1645	13739	2954
1646	13748	2946
1647	13757	2938
1648	13765	2930
1649	13774	2921
1650	13782	2913
1651	13792	2905
1652	13801	2897
1653	13808	2888
1654	13817	2880
1655	13825	2871
1656	13833	2863
1657	13841	2855
1658	13849	2846
1659	13857	2838
1660	13864	2829
1661	13872	2821
1662	13880	2812
1663	13888	2804
1664	13894	2795
1665	13902	2787
1666	13910	2778
1667	13918	2770
1668	13926	2761
1669	13933	2753
1670	13940	2744
1671	13948	2736
